NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.029880542	Yes	
row_1	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.059598472	Yes	
row_2	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	160	0.39965081214904785	0.074866325	Yes	
row_3	RDH8	retinol dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:14423]	168	0.39536580443382263	0.09716664	Yes	
row_4	RBP3	retinol binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9921]	221	0.38092276453971863	0.11615696	Yes	
row_5	RLBP1	retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024]	297	0.3577733635902405	0.13255076	Yes	
row_6	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	313	0.35433995723724365	0.15205587	Yes	
row_7	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	327	0.35134977102279663	0.1714997	Yes	
row_8	CYP3A4	cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637]	446	0.32913416624069214	0.1838792	Yes	
row_9	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	462	0.32615047693252563	0.20176679	Yes	
row_10	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	464	0.32604092359542847	0.22042005	Yes	
row_11	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	550	0.3099481761455536	0.23351821	Yes	
row_12	AKR1B15	aldo-keto reductase family 1 member B15 [Source:HGNC Symbol;Acc:HGNC:37281]	765	0.28655293583869934	0.23816103	Yes	
row_13	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	838	0.27824532985687256	0.25015688	Yes	
row_14	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.2628846	Yes	
row_15	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	1059	0.26031607389450073	0.26872373	Yes	
row_16	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	1074	0.2594781517982483	0.2828408	Yes	
row_17	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.29760787	Yes	
row_18	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	1092	0.25775429606437683	0.311626	Yes	
row_19	UGT1A8	UDP glucuronosyltransferase family 1 member A8 [Source:HGNC Symbol;Acc:HGNC:12540]	1148	0.2538566291332245	0.32315978	Yes	
row_20	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	1290	0.244689479470253	0.32942557	Yes	
row_21	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	1324	0.24200339615345	0.34149227	Yes	
row_22	SRD5A1	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	1355	0.239960715174675	0.35360718	Yes	
row_23	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	1361	0.23952616751194	0.36707562	Yes	
row_24	RBP2	retinol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9920]	1365	0.23924009501934052	0.3806379	Yes	
row_25	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24945]	1369	0.23901352286338806	0.3941872	Yes	
row_26	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	1377	0.23877590894699097	0.40750232	Yes	
row_27	CYP26C1	cytochrome P450 family 26 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:20577]	1383	0.23855486512184143	0.42091504	Yes	
row_28	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	1553	0.22695483267307281	0.42461935	Yes	
row_29	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	1564	0.22649633884429932	0.4370644	Yes	
row_30	CRH	corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]	1679	0.22027114033699036	0.44341785	Yes	
row_31	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	1949	0.20705457031726837	0.44046637	Yes	
row_32	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	1971	0.20607253909111023	0.451133	Yes	
row_33	CYP3A5	cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638]	2281	0.19120649993419647	0.4450666	Yes	
row_34	AKR1C4	aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]	2421	0.18505513668060303	0.44802085	Yes	
row_35	SDR16C5	short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]	2527	0.1808169037103653	0.45260662	Yes	
row_36	RARRES2	retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]	2557	0.17967921495437622	0.46131766	Yes	
row_37	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	2622	0.1775524914264679	0.46797684	Yes	
row_38	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	2703	0.17472237348556519	0.47359136	Yes	
