NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	266	0.3694098889827728	0.0073321583	No	
row_1	C10orf90	chromosome 10 open reading frame 90 [Source:HGNC Symbol;Acc:HGNC:26563]	1179	0.2517441213130951	-0.028004939	No	
row_2	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	1224	0.24882979691028595	-0.015604909	No	
row_3	HAUS5	HAUS augmin like complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:29130]	1238	0.24770700931549072	-0.00156069	No	
row_4	PARD6G	par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]	1388	0.2383280098438263	0.0044178376	No	
row_5	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	2028	0.2027253359556198	-0.018771749	No	
row_6	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	2897	0.16709448397159576	-0.05672477	No	
row_7	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	3118	0.15889094769954681	-0.059399165	No	
row_8	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	3473	0.1466023027896881	-0.07020225	No	
row_9	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]	3549	0.14346151053905487	-0.065792605	No	
row_10	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	3556	0.14332889020442963	-0.05758229	No	
row_11	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	3865	0.13427472114562988	-0.066580966	No	
row_12	CCDC61	coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629]	3879	0.1337532103061676	-0.059327677	No	
row_13	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	3971	0.1309567391872406	-0.056546386	No	
row_14	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	4420	0.1175486370921135	-0.074269384	No	
row_15	NUBP1	nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8041]	4793	0.10768666118383408	-0.08838514	No	
row_16	KIAA1614	KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]	4905	0.10458362102508545	-0.088279456	No	
