NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	817	0.3169603645801544	-0.019332115	No	
row_1	RNF215	ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]	1541	0.25066718459129333	-0.038856093	No	
row_2	SORCS1	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]	1711	0.23921017348766327	-0.02878814	No	
row_3	SCAMP3	secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	2372	0.20010900497436523	-0.048937105	No	
row_4	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	2900	0.17486096918582916	-0.06380437	No	
row_5	LLGL1	LLGL scribble cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:6628]	3085	0.1662655919790268	-0.060471956	No	
row_6	C16orf70	chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]	3143	0.16334974765777588	-0.050379276	No	
row_7	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	3555	0.14837557077407837	-0.061001625	No	
row_8	AP2A1	adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]	3759	0.14114335179328918	-0.06075106	No	
row_9	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	3967	0.13390053808689117	-0.061307587	No	
row_10	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4896	0.10551478713750839	-0.103883766	No	
row_11	VAMP2	vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643]	5699	0.08161383122205734	-0.14145476	No	
row_12	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	5791	0.07894755154848099	-0.1400725	No	
row_13	CCDC93	coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611]	6039	0.07248251140117645	-0.14780807	No	
row_14	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	6124	0.07056672126054764	-0.14671911	No	
row_15	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	6177	0.068956658244133	-0.14399768	No	
row_16	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	6308	0.06567906588315964	-0.14583881	No	
row_17	AP4M1	adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574]	6340	0.06469906866550446	-0.1423054	No	
row_18	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	6479	0.06140536069869995	-0.14493348	No	
row_19	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	6547	0.059857651591300964	-0.14377551	No	
row_20	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	6648	0.05706201121211052	-0.144662	No	
row_21	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	6651	0.05693339183926582	-0.14016004	No	
row_22	DOP1B	DOP1 leucine zipper like protein B [Source:HGNC Symbol;Acc:HGNC:1291]	6873	0.05148288980126381	-0.14816442	No	
row_23	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	7065	0.04678912088274956	-0.15489633	No	
