NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KHDC3L	KH domain containing 3 like, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:33699]	77	0.4495514929294586	0.019721555	No	
row_1	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	171	0.39368975162506104	0.035579886	No	
row_2	POLN	DNA polymerase nu [Source:HGNC Symbol;Acc:HGNC:18870]	1638	0.22279725968837738	-0.033532258	No	
row_3	TWNK	twinkle mtDNA helicase [Source:HGNC Symbol;Acc:HGNC:1160]	2153	0.19706478714942932	-0.051420093	No	
row_4	EME2	essential meiotic structure-specific endonuclease subunit 2 [Source:HGNC Symbol;Acc:HGNC:27289]	2470	0.1826663613319397	-0.059136607	No	
row_5	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	2538	0.1802300065755844	-0.05322615	No	
row_6	WDR18	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]	2648	0.17682760953903198	-0.049817592	No	
row_7	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	3406	0.14908438920974731	-0.08368976	No	
row_8	NUGGC	nuclear GTPase, germinal center associated [Source:HGNC Symbol;Acc:HGNC:33550]	3512	0.1452026069164276	-0.08174685	No	
row_9	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	3558	0.1432640552520752	-0.07659241	No	
row_10	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	3822	0.13561050593852997	-0.08389035	No	
row_11	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	3942	0.13185977935791016	-0.083432525	No	
row_12	TRAIP	TRAF interacting protein [Source:HGNC Symbol;Acc:HGNC:30764]	3948	0.13161852955818176	-0.07668922	No	
row_13	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	4050	0.1281745582818985	-0.07543346	No	
row_14	RPAIN	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	4183	0.12393256276845932	-0.07611665	No	
row_15	SIRT7	sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]	4208	0.12324340641498566	-0.070869744	No	
row_16	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3 [Source:HGNC Symbol;Acc:HGNC:11808]	4234	0.12260550260543823	-0.0657121	No	
row_17	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	4251	0.12212817370891571	-0.060082678	No	
row_18	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	4600	0.11264853924512863	-0.073301375	No	
row_19	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	4764	0.10851939022541046	-0.07651929	No	
row_20	TONSL	tonsoku like, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:7801]	4836	0.10679081082344055	-0.07474652	No	
row_21	STOML2	stomatin like 2 [Source:HGNC Symbol;Acc:HGNC:14559]	4925	0.10412762314081192	-0.074055016	No	
row_22	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	5122	0.09867244958877563	-0.07962129	No	
row_23	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	5240	0.09561074525117874	-0.080986224	No	
row_24	LRWD1	leucine rich repeats and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21769]	5255	0.09511760622262955	-0.076686844	No	
row_25	TIMELESS	timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]	5290	0.09423663467168808	-0.07353943	No	
row_26	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	5566	0.08744155615568161	-0.08406932	No	
row_27	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	5733	0.08369994908571243	-0.08877666	No	
row_28	ZPR1	ZPR1 zinc finger [Source:HGNC Symbol;Acc:HGNC:13051]	6025	0.07622746378183365	-0.100788616	No	
row_29	CHTF18	chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]	6100	0.07446297258138657	-0.10090572	No	
row_30	DDX23	DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]	6356	0.06739173829555511	-0.11139995	No	
row_31	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]	6375	0.06699324399232864	-0.108821504	No	
row_32	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	6384	0.06676145642995834	-0.10570294	No	
row_33	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	6922	0.05405435711145401	-0.1324886	No	
row_34	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	7018	0.05138495936989784	-0.13499673	No	
row_35	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	7260	0.045828841626644135	-0.14586748	No	
row_36	CDT1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	7372	0.043282222002744675	-0.14969173	No	
row_37	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	7384	0.04290305823087692	-0.14801133	No	
row_38	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	7878	0.031238090246915817	-0.1735829	No	
row_39	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	7913	0.03029935620725155	-0.17384541	No	
row_40	ZRANB3	zinc finger RANBP2-type containing 3 [Source:HGNC Symbol;Acc:HGNC:25249]	7928	0.02992437407374382	-0.17302296	No	
row_41	DBF4B	DBF4 zinc finger B [Source:HGNC Symbol;Acc:HGNC:17883]	7993	0.028475366532802582	-0.1750402	No	
row_42	PNKP	polynucleotide kinase 3'-phosphatase [Source:HGNC Symbol;Acc:HGNC:9154]	8019	0.02771776169538498	-0.17494316	No	
row_43	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	8524	0.016603566706180573	-0.20190296	No	
row_44	RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]	8640	0.014124393463134766	-0.20750326	No	
row_45	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	8878	0.00819932296872139	-0.22015989	No	
row_46	GINS4	GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]	8935	0.006742329802364111	-0.22289422	No	
row_47	POLG	DNA polymerase gamma, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9179]	8949	0.006234379950910807	-0.22327997	No	
row_48	EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	9078	0.0027074080426245928	-0.2302074	No	
row_49	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	9121	0.0015227538533508778	-0.23244663	No	
row_50	MGME1	mitochondrial genome maintenance exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:16205]	9252	0.0	-0.23962894	No	
row_51	CORT	cortistatin [Source:HGNC Symbol;Acc:HGNC:2257]	9551	0.0	-0.25609303	No	
row_52	CENPS	centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	9629	0.0	-0.2603472	No	
row_53	GEN1	GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]	9952	0.0	-0.27813724	No	
row_54	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	10116	0.0	-0.28714275	No	
row_55	ZNF830	zinc finger protein 830 [Source:HGNC Symbol;Acc:HGNC:28291]	10139	0.0	-0.28835824	No	
row_56	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	10297	0.0	-0.29703227	No	
row_57	OOEP	oocyte expressed protein [Source:HGNC Symbol;Acc:HGNC:21382]	10527	-0.003446967341005802	-0.30950037	No	
row_58	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	10622	-0.005427936557680368	-0.31440425	No	
row_59	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	10738	-0.008132082410156727	-0.32032412	No	
row_60	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	10760	-0.008517313748598099	-0.3210301	No	
row_61	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	10806	-0.009736141189932823	-0.32299703	No	
row_62	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	11126	-0.01756473258137703	-0.33968458	No	
row_63	POLB	DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]	11184	-0.01952553726732731	-0.3417924	No	
row_64	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	11308	-0.022669879719614983	-0.34737894	No	
row_65	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	11328	-0.023079559206962585	-0.34719777	No	
row_66	EME1	essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965]	11413	-0.025403115898370743	-0.35048383	No	
