NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	208	0.44091346859931946	0.041716177	Yes	
row_1	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	352	0.3976183533668518	0.08178716	Yes	
row_2	SLC27A5	solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]	533	0.3584374785423279	0.115100235	Yes	
row_3	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	815	0.3176838755607605	0.1379466	Yes	
row_4	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	957	0.29963386058807373	0.16631523	Yes	
row_5	SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	1490	0.2541655898094177	0.16770244	Yes	
row_6	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	1509	0.25312528014183044	0.19722773	Yes	
row_7	UCP1	uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517]	1580	0.24789203703403473	0.2232628	Yes	
row_8	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	1790	0.23294349014759064	0.23985253	Yes	
row_9	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	1871	0.22742240130901337	0.26287004	Yes	
row_10	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	2110	0.21366219222545624	0.27554074	Yes	
row_11	SLC27A4	solute carrier family 27 member 4 [Source:HGNC Symbol;Acc:HGNC:10998]	2272	0.20523828268051147	0.2914299	Yes	
row_12	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	2299	0.2037079781293869	0.31455788	Yes	
row_13	FABP7	fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562]	2414	0.19768096506595612	0.33212042	Yes	
row_14	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	2834	0.17732647061347961	0.330458	Yes	
row_15	APOA5	apolipoprotein A5 [Source:HGNC Symbol;Acc:HGNC:17288]	3024	0.16952072083950043	0.34050167	Yes	
row_16	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	3164	0.16246537864208221	0.35244414	Yes	
row_17	CPT1C	carnitine palmitoyltransferase 1C [Source:HGNC Symbol;Acc:HGNC:18540]	3327	0.15631704032421112	0.3623807	Yes	
row_18	FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	3964	0.1340569108724594	0.34356976	Yes	
row_19	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	4035	0.13183587789535522	0.3556139	Yes	
row_20	CPT1B	carnitine palmitoyltransferase 1B [Source:HGNC Symbol;Acc:HGNC:2329]	4049	0.13128018379211426	0.3707253	Yes	
