NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	176	0.35809847712516785	0.029363245	No	
row_1	ZRANB3	zinc finger RANBP2-type containing 3 [Source:HGNC Symbol;Acc:HGNC:25249]	2066	0.16181519627571106	-0.05706911	No	
row_2	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	2412	0.1477944552898407	-0.059957266	No	
row_3	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	2485	0.14474070072174072	-0.048136365	No	
row_4	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	3378	0.11583467572927475	-0.08465004	No	
row_5	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	-0.08028243	No	
row_6	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	3598	0.11038446426391602	-0.072374344	No	
row_7	RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	3802	0.10477492213249207	-0.072130874	No	
row_8	POLQ	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]	4186	0.09432047605514526	-0.08294565	No	
row_9	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	4363	0.09036051481962204	-0.0827868	No	
row_10	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]	4686	0.08306093513965607	-0.09146868	No	
row_11	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	4944	0.07689880579710007	-0.09724125	No	
row_12	RTEL1	regulator of telomere elongation helicase 1 [Source:HGNC Symbol;Acc:HGNC:15888]	5072	0.07400107383728027	-0.096166976	No	
row_13	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	5097	0.07355391979217529	-0.08946624	No	
row_14	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	5465	0.06544961035251617	-0.10254861	No	
row_15	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	5495	0.06490380316972733	-0.0970669	No	
row_16	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	5786	0.05803832784295082	-0.10671502	No	
row_17	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	5922	0.05502507463097572	-0.10815141	No	
row_18	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	5933	0.054805316030979156	-0.102724336	No	
row_19	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	5946	0.05445041507482529	-0.09744618	No	
row_20	MTERF1	mitochondrial transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:21463]	5956	0.05426565930247307	-0.09202287	No	
row_21	TWNK	twinkle mtDNA helicase [Source:HGNC Symbol;Acc:HGNC:1160]	5958	0.054224852472543716	-0.08616322	No	
row_22	CHD3	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]	6059	0.05223478004336357	-0.08597549	No	
row_23	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	6421	0.04445745423436165	-0.10101705	No	
row_24	RUVBL1	RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]	6667	0.03906068578362465	-0.11025575	No	
row_25	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	6833	0.03580072522163391	-0.115442075	No	
row_26	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	6917	0.03431935980916023	-0.11627184	No	
row_27	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	7253	0.027622025460004807	-0.13171719	No	
row_28	CHD1L	chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916]	7261	0.02751946449279785	-0.12910111	No	
row_29	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	7356	0.02575262449681759	-0.13147141	No	
row_30	BLM	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	7467	0.023356275632977486	-0.13498469	No	
row_31	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	7498	0.022707000374794006	-0.13416083	No	
row_32	HELB	DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]	7843	0.015901081264019012	-0.15138058	No	
row_33	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	7876	0.015301242470741272	-0.15147474	No	
row_34	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	8025	0.01214547548443079	-0.15830465	No	
row_35	CHD6	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]	8057	0.011577881872653961	-0.15874983	No	
