NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WEE2	WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]	57	0.44549497961997986	0.036838148	No	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	421	0.29266616702079773	0.043084152	No	
row_2	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	1139	0.2135021984577179	0.022701947	No	
row_3	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1456	0.19343146681785583	0.022634054	No	
row_4	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1807	0.1733153909444809	0.01888567	No	
row_5	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	1973	0.16627375781536102	0.024708278	No	
row_6	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	2166	0.15820680558681488	0.028317824	No	
row_7	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	2489	0.14458772540092468	0.023535455	No	
row_8	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2983	0.12694203853607178	0.007738601	No	
row_9	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	3152	0.1221216470003128	0.009433244	No	
row_10	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	3265	0.1191675141453743	0.013951225	No	
row_11	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	0.009908926	No	
row_12	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	3598	0.11038446426391602	0.015679248	No	
row_13	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	3817	0.104390449821949	0.0130250165	No	
row_14	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	3923	0.101551353931427	0.01634806	No	
row_15	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	4859	0.07925556600093842	-0.028105296	No	
row_16	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	5034	0.07494691014289856	-0.030975342	No	
row_17	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	5323	0.06874016672372818	-0.04068965	No	
row_18	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	5786	0.05803832784295082	-0.06096071	No	
row_19	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	5787	0.05800362303853035	-0.055755068	No	
row_20	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	5817	0.057259704917669296	-0.052215576	No	
row_21	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	6038	0.05274086445569992	-0.059615497	No	
row_22	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	6058	0.052253834903240204	-0.05597375	No	
row_23	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	6204	0.04872778430581093	-0.059597496	No	
row_24	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6283	0.04720006510615349	-0.05966323	No	
row_25	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	6476	0.043334487825632095	-0.06636311	No	
row_26	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	6594	0.04061179980635643	-0.06917101	No	
row_27	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	6683	0.03863706439733505	-0.07055675	No	
row_28	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	6704	0.03821684047579765	-0.068229936	No	
row_29	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	6920	0.03422432765364647	-0.0770159	No	
row_30	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	7012	0.03258713707327843	-0.07911006	No	
row_31	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	7079	0.03119407780468464	-0.07995047	No	
row_32	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	7305	0.02658972330391407	-0.08997312	No	
row_33	TFDP1	transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]	7576	0.02136434242129326	-0.10294654	No	
row_34	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	7841	0.01590772345662117	-0.116078764	No	
row_35	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	7844	0.015897881239652634	-0.114762284	No	
row_36	ZBTB17	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	7943	0.013908293098211288	-0.118918866	No	
row_37	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	8025	0.01214547548443079	-0.122296095	No	
row_38	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	8111	0.01060241088271141	-0.1260324	No	
row_39	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	8305	0.006690613459795713	-0.13607611	No	
row_40	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	8389	0.005317539442330599	-0.14017642	No	
row_41	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	8719	0.0	-0.15832113	No	
row_42	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	8720	0.0	-0.15832113	No	
row_43	PTTG2	pituitary tumor-transforming 2 [Source:HGNC Symbol;Acc:HGNC:9691]	8807	0.0	-0.16306414	No	
row_44	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9127	0.0	-0.18065734	No	
row_45	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	9830	0.0	-0.21937342	No	
row_46	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	9876	-3.8022210355848074E-4	-0.2218211	No	
row_47	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	10002	-0.0024873167276382446	-0.22849175	No	
row_48	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	10007	-0.002570221433416009	-0.2284817	No	
row_49	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	10032	-0.003061279421672225	-0.22953057	No	
row_50	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	10454	-0.011790122836828232	-0.25169107	No	
row_51	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	10496	-0.012689609080553055	-0.2528134	No	
row_52	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	10509	-0.012890001758933067	-0.25231838	No	
row_53	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	10530	-0.013205442577600479	-0.25223628	No	
row_54	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	10606	-0.014658915810286999	-0.255057	No	
row_55	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	10963	-0.022197041660547256	-0.2726987	No	
row_56	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	10998	-0.022806355729699135	-0.27252704	No	
row_57	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	11027	-0.023400595411658287	-0.27197114	No	
row_58	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	11213	-0.02688193880021572	-0.27976152	No	
row_59	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	11261	-0.02768167108297348	-0.2798693	No	
row_60	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	11324	-0.028963055461645126	-0.2806893	No	
row_61	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11499	-0.032598815858364105	-0.28735995	No	
row_62	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	11554	-0.03358134254813194	-0.2873243	No	
row_63	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	11699	-0.0369393453001976	-0.29195088	No	
row_64	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	11860	-0.04044545814394951	-0.2971452	No	
row_65	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	11861	-0.040448881685733795	-0.29351506	No	
row_66	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	11903	-0.04123956337571144	-0.29207513	No	
row_67	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	12271	-0.048488665372133255	-0.30796388	No	
row_68	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	12467	-0.05247514322400093	-0.31400886	No	
row_69	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	12582	-0.05499308556318283	-0.31536064	No	
row_70	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	12691	-0.057253170758485794	-0.31617868	No	
row_71	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	12850	-0.061162177473306656	-0.31940344	No	
row_72	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	12993	-0.06448423862457275	-0.32144764	Yes	
row_73	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	13092	-0.06685466319322586	-0.32085246	Yes	
row_74	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	13176	-0.0689159706234932	-0.319245	Yes	
row_75	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	13300	-0.07179239392280579	-0.31958544	Yes	
row_76	ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	13448	-0.07540116459131241	-0.32092565	Yes	
row_77	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	13457	-0.07565801590681076	-0.31457677	Yes	
row_78	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	13476	-0.07615405321121216	-0.30873492	Yes	
row_79	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	13505	-0.07707507163286209	-0.30336192	Yes	
row_80	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	13573	-0.07847519963979721	-0.30001414	Yes	
row_81	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	13754	-0.08287497609853745	-0.30250356	Yes	
row_82	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	13778	-0.08347583562135696	-0.29628035	Yes	
row_83	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	13801	-0.08413233608007431	-0.28994307	Yes	
row_84	ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	13837	-0.08512652665376663	-0.2842335	Yes	
row_85	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	13856	-0.0856095477938652	-0.27754307	Yes	
row_86	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	13884	-0.08626667410135269	-0.27128997	Yes	
row_87	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	13982	-0.08875720202922821	-0.26867396	Yes	
row_88	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	14095	-0.09153188765048981	-0.2666362	Yes	
row_89	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	14218	-0.0945085808634758	-0.26488277	Yes	
row_90	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	14225	-0.09470156580209732	-0.25671452	Yes	
row_91	ANAPC10	anaphase promoting complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:24077]	14269	-0.09600063413381577	-0.25047025	Yes	
row_92	CCNH	cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]	14342	-0.09799136966466904	-0.24564673	Yes	
row_93	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	14587	-0.10472143441438675	-0.24970518	Yes	
row_94	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	14660	-0.10655681043863297	-0.24411292	Yes	
row_95	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	15026	-0.11725028604269028	-0.25372025	Yes	
row_96	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	15088	-0.11915268003940582	-0.2463909	Yes	
row_97	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	15123	-0.11998596787452698	-0.23749766	Yes	
row_98	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	15617	-0.1347706913948059	-0.2525919	Yes	
