NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.025848705	Yes	
row_1	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.0516364	Yes	
row_2	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	34	0.49252811074256897	0.075470485	Yes	
row_3	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	160	0.39965081214904785	0.088492766	Yes	
row_4	RDH8	retinol dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:14423]	168	0.39536580443382263	0.10781466	Yes	
row_5	RBP3	retinol binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9921]	221	0.38092276453971863	0.12393275	Yes	
row_6	RLBP1	retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024]	297	0.3577733635902405	0.13762735	Yes	
row_7	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	313	0.35433995723724365	0.15446262	Yes	
row_8	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	327	0.35134977102279663	0.17125921	Yes	
row_9	DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]	377	0.33990591764450073	0.18549827	Yes	
row_10	CYP3A4	cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637]	446	0.32913416624069214	0.19815163	Yes	
row_11	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	462	0.32615047693252563	0.21358171	Yes	
row_12	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	464	0.32604092359542847	0.22977906	Yes	
row_13	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	550	0.3099481761455536	0.2405377	Yes	
row_14	AKR1B15	aldo-keto reductase family 1 member B15 [Source:HGNC Symbol;Acc:HGNC:37281]	765	0.28655293583869934	0.24300973	Yes	
row_15	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	838	0.27824532985687256	0.2529056	Yes	
row_16	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.26356858	Yes	
row_17	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	1059	0.26031607389450073	0.2674374	Yes	
row_18	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	1074	0.2594781517982483	0.27959916	Yes	
row_19	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.2924132	Yes	
